Source,Target,Weight
VESSEY D,1967,1
BENDLOVA P,1968,1
BOEHM R,1968,1
BOURGEOIS P,1968,1
CIBULKA J,1968,1
KISIEL T,1968,1
PAUZA M,1968,1
RENAUDIE P,1968,1
RICHARD P,1968,1
ROBERT J,1968,1
SMILLIE D,1968,1
WELTON D,1968,1
WILLIAMS H,1968,1
BLASCHEK-HAHNOVA H,1969,1
D'HONDT J,1969,1
HART J,1969,1
HOFFMANN T,1969,1
IJSSELING S,1969,1
JANSSEN P,1969,1
LANDGREBE L,1969,1
STANAGE S,1969,1
WESTPHAL M,1969,1
GLINKA H,1970,1
HEINAMAA S,1970,1
HENGSTENBERG H,1970,1
KISIEL T,1970,1
KUHN R,1970,1
LEASK I,1970,1
RODRIGO P,1970,1
SPIEGELBERG H,1970,1
BETZLER M,1971,1
CORMIER P,1971,1
COURTINE J,1971,1
DUNSON J,1971,1
HEINAMAA S,1971,1
KISIEL T,1971,1
KUNG G,1971,1
LORIES D,1971,1
MOUTSOPOULOS E,1971,1
NOVELLA E,1971,1
RASMUSSEN D,1971,1
ROBERT J,1971,1
SCHALOW F,1971,1
WATSON S,1971,1
ANDERSEN N,1972,1
BOEHM R,1972,1
EVINK E,1972,1
FALQUE E,1972,1
GUZMAN C,1972,1
HENGSTENBERG H,1972,1
JANSSEN P,1972,1
KRYSZTOFIAK W,1972,1
KUHN R,1972,1
KUNG G,1972,1
RENAUDIE P,1972,1
ROBERT J,1972,1
BERNASCONI R,1973,1
BOEHM R,1973,1
CIBULKA J,1973,1
DASTUR F,1973,1
DONOUGHO M,1973,1
FALQUE E,1973,1
MCGUIRK J,1973,1
SHAPIRO G,1973,1
SOLOVEV E,1973,1
WATSON S,1973,1
BOEHM R,1974,1
CIBULKA J,1974,1
DESPLAND M,1974,1
GRONDIN V,1974,1
HEINAMAA S,1974,1
HELD K,1974,1
KLEIST E,1974,1
MOHANTY J,1974,1
MOTROSILOVA N,1974,1
SANDKAULEN B,1974,1
SPARROW T,1974,1
STRASSER S,1974,1
DALISSIER M,1975,1
DE B K,1975,1
DWYER D,1975,1
JANSSEN P,1975,1
LEASK I,1975,1
MOHANTY J,1975,1
SHANON B,1975,1
STEWART J,1975,1
STRASSER S,1975,1
WALDENFELS B,1975,1
