community,sum.degree,mean.degree,sum.strength,mean.strength
1,986,3.882,2890,11.378
5,493,3.265,1397,9.252
4,487,3.225,866,5.735
2,284,2.63,481,4.454
14,269,2.445,841,7.645
10,246,2.764,606,6.809
16,191,2.653,451,6.264
7,190,3.22,467,7.915
8,136,1.943,244,3.486
9,123,1.783,240,3.478
11,102,2.217,194,4.217
6,89,1.978,183,4.067
3,86,2.205,158,4.051
12,71,1.732,193,4.707
17,38,1.81,52,2.476
15,28,1.217,60,2.609
13,2,0.667,5,1.667
