Source,Target,Weight
ALLSOBROOK C,ADORNO T,3
ANGELOVA E,ADORNO T,1
ANGUS I,ADORNO T,1
ARANDATORRES C,ADORNO T,1
BECKER MA,ADORNO T,2
BELL N,ADORNO T,1
BERGO BG,ADORNO T,1
BORS V,ADORNO T,1
BRADIC S,ADORNO T,1
CANTO EM,ADORNO T,1
CARLSSON U,ADORNO T,1
CASTRODEZA C,ADORNO T,1
CHILLON JM,ADORNO T,1
CIBULKA J,ADORNO T,1
COLOMER JM,ADORNO T,2
CRUZ CME,ADORNO T,1
DAHL E,ADORNO T,1
DALLMAYR FR,ADORNO T,2
DE LARA F,ADORNO T,1
DEL ROSAL FI,ADORNO T,1
DELIC Z,ADORNO T,1
DIEBNER HH,ADORNO T,1
DUNSON JA,ADORNO T,1
DUPPE T,ADORNO T,1
ESTRADA JA,ADORNO T,1
FALCON LA,ADORNO T,1
FERENCZ-FLATZ C,ADORNO T,6
FLORES PFR,ADORNO T,1
FOLKMANN MN,ADORNO T,1
FOSHAY R,ADORNO T,1
GINEV D,ADORNO T,1
GIRAUD V,ADORNO T,1
GOGUEN JA,ADORNO T,1
GOMEZ PP,ADORNO T,1
GORTZEN R,ADORNO T,1
GRAHOVAC V,ADORNO T,1
GRONDIN J,ADORNO T,1
GRUNY C,ADORNO T,1
HAINIC C,ADORNO T,1
HARTMANN K,ADORNO T,1
HARVEY CW,ADORNO T,1
HASSE J,ADORNO T,1
HAVERKAMP A,ADORNO T,1
HODGE J,ADORNO T,3
HOWIE G,ADORNO T,1
JACKSON JM,ADORNO T,1
JARVIS S,ADORNO T,1
JEANNOT TM,ADORNO T,1
KIMMERLE H,ADORNO T,2
KLEIN RA,ADORNO T,2
KLUCK S,ADORNO T,1
KOCHLER H,ADORNO T,2
KRAHN R,ADORNO T,1
LAINE MJ,ADORNO T,1
LANDWEER H,ADORNO T,1
LEJEUNE G,ADORNO T,2
LEVIN DM,ADORNO T,1
LIVADAS S,ADORNO T,1
LOEVY K,ADORNO T,1
LUNA J,ADORNO T,1
MARSH JI,ADORNO T,1
MATEJCKOVA T,ADORNO T,1
MECACCI A,ADORNO T,1
MICALI S,ADORNO T,2
MICHELOW D,ADORNO T,1
MIETTINEN T,ADORNO T,1
MIKA C,ADORNO T,1
MILLER JA,ADORNO T,1
MOCKEL C,ADORNO T,1
MORAN D,ADORNO T,1
MORENO C,ADORNO T,1
NG K,ADORNO T,1
NORRIS C,ADORNO T,2
OBERT M,ADORNO T,1
OUBINA OP,ADORNO T,1
PAPUC I,ADORNO T,1
PEREZ BM,ADORNO T,1
PHILLIPS W,ADORNO T,1
PLOTKA W,ADORNO T,2
RASKIN H,ADORNO T,1
REYNOLDS JM,ADORNO T,1
RITTER M,ADORNO T,1
SANCHEZ A,ADORNO T,1
SCARSO D,ADORNO T,1
SHUSTER M,ADORNO T,1
SMITH N,ADORNO T,2
SMYTH B,ADORNO T,1
SORENSEN A,ADORNO T,1
STOKES P,ADORNO T,1
STRUYKERBOUDIER C,ADORNO T,2
SWER GM,ADORNO T,1
SWINDAL J,ADORNO T,1
TEBAR RB,ADORNO T,2
TUNON AH,ADORNO T,7
VANDEPITTE MM,ADORNO T,1
VANREIJEN W,ADORNO T,1
VISSER G,ADORNO T,1
WALKER K,ADORNO T,1
