OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
BALDWIN,BALDWIN T,
BALLARD,BALLARD E,Checked paper
BALTZER-JARAY K,BALTZERJARAY K,
BANCHETTIROBINO,BANCHETTIROBINO M,
BARBA-KAY A,BARBAKAY A,
BARABARAS R,BARBARAS R,
BARBARAS,BARBARAS R,
BARBARAUS R,BARBARAS R,
BARBARRAS R,BARBARAS R,
DI D BARBIERI,BARBIERI D,
BARBOSA MARTINEZ O E,BARBOSAMARTINEZ O,
BAROHCOHEN S,BARONCOHEN S,
BARON COHEN SIMON,BARONCOHEN S,
BARONCOHEN HTS,BARONCOHEN S,
BARRETT,BARRETT J,
BARRY,BARRY K,
BARTHELEMYMADAUM,BARTHELEMYMADAULE M,
BARTHES BR,BARTHES R,
BARTHES POZRI R,BARTHES R,
BARTLEY III W W,BARTLEY W,
BASEHEART CM,BASEHEART M,
BATSON,BATSON C,
BATTAN HORENSTEIN A,BATTANHORENSTEIN A,
BATTAN HORENSTEIN ARIELA,BATTANHORENSTEIN A,
BAUCHS B,BAUCH B,
ERSTE PREISAUFGABE DER KANTGESELLSCHAFT,Bauch B,
BEAUCHEMP TL,BEAUCHAMP T,
BEAUFRET VJ,BEAUFRET J,
BEAUME JC,BEAUNE J,
BECKMANN B,BECKMANNZOLLER B,
BECKMANN BEATE,BECKMANNZOLLER B,
BECKMANN-ZOLLER B,BECKMANNZOLLER B,
BEIERWALTES,BEIERWALTES W,
BEISER,BEISER F,
BELLAH,BELLAH R,
BELYI A,BELY A,
BELYI ANDREI,BELY A,
BENACCRRAF P,BENACERRAF P,
BENARY,BENARY W,
BEN BARZILLAI R JUDAH,BENBARZILLAI J,
BENEDICT POPE,BENEDICT XVI,
BENEDICT XVI,BENEDICT XVI,
BENEDICT XVI POPE,BENEDICT XVI,
BENJAMIN,BENJAMIN W,
BODLER BENJAMIN W SHARL,BENJAMIN W,
BENOIST,BENOIST J,
BEN PAZI H,BENPAZI H,
BEN ZEEEV A,BENZEEV A,
BENZEV A,BENZEEV A,
BERDIAEV N,BERDYAEV N,
BERGSON,BERGSON H,
BERGSON A,BERGSON H,
EVOLUTION CREATRICE,BERGSON H,Bergson's book
BERKOVICH-OHANA A,BERKOVICHOHANA A,
BERNERSLEE,BERNERSLEE T,
BERNET,BERNET R,
BERNET CF R,BERNET R,
BERNETS R,BERNET R,
RUDOLF BERNET,BERNET R,
BERNSTEIN,BERNSTEIN J,
ENRICO BERTI,BERTI E,
BESSMEL'TSEVA O,BESSMELTSEVA O,
BHABHA J,BHABHA H,
BHATTACHARYYA,BHATTACHARYA K,
BHATTACHARYYA K,BHATTACHARYA K,
BHATTACHARYYA KC,BHATTACHARYA K,
BHATTACHARYYA V,BHATTACHARYA V,
BIASUTII F,BIASUTTI F,
BIBIHIN VV,BIBIKHIN V,
BIEMEL,BIEMEL W,
BIEMEL M,BIEMEL W,
BIEMEL MANY,BIEMEL W,
BIEMEL MARLY,BIEMEL W,
BIEMEL MARTY,BIEMEL W,
BIEMEL MW,BIEMEL W,
BIFFI I,BIFFT I,
BIJSTERVELD A,BIJSTERVELD K,
BINGGELL S,BINGGELI S,
BINSVANGER L,BINSWANGER L,
BIRD-POLLAN S,BIRDPOLLAN S,
BJORNSSONS GUNNAR,BJORNSSON G,
BALCKBOURN D,BLACKBOURN D,
BALCKBURN S,BLACKBURN S,
BLACJBURN S,BLACKBURN S,
BLANCO FERNANDEZ DOMINGO,BLANCOFERNANDEZ D,
BLANKENBURG,BLANKENBURG W,
BLASCHEK-HAHNOVA H,BLASCHEKHANOVA H,
BLAUSTEIN,BLAUSTEIN L,
BLECHA L,BLECHA I,
BLONSKII,BLONSKII P,
BLUMENBERG,BLUMENBERG H,
BLUMENBERG D,BLUMENBERG H,
BLUMENBERG J,BLUMENBERG H,
BLUMENBERG REZENSION VON H,BLUMENBERG H,
BOBONICH,BOBONICH C,
BOCCACCINBI F,BOCCACCINI F,
BOCKENFORDE W,BOCKENFORDE E,
BODEA OC,BODEA C,
BHIKKHU B,BODHI B,
BOGHOSSIAN F,BOGHOSSIAN P,
ASTHETIK GERNOT BOHME,BÖHME G,
BOHME,BOHME J,checked paper
BOLLNOW LOGIK OTTO FRIEDRICH,BOLLNOW O,
BOLLNOW R,BOLLNOW O,
BOLNOW F O,BOLNOW O,
BOLTANSKI,BOLTANSKI L,
BOLZANO,BOLZANO B,
BONAVENTURA,BONAVENTURE,
BONAVENTURE ST,BONAVENTURE,
BONECKAJA HK,BONECKAJA N,
BONHOEFFER,BONHOEFFER D,
BONHOEFFERS,BONHOEFFER D,
BONITO OLIVA A,BONITOOLIVA A,
BONITO OLIVA R,BONITOOLIVA A,
BONNEVAL,BONNEFOY Y,checked paper
BOGNAR,BOORSE C,checked paper
BOTZ BORNSTEIN T,BOTZBORNSTEIN T,
BOURBAKI,BOURBAKI N,
BOURDIEUR P,BOURDIEU P,
BOURGEOIS,BOURGEOIS B,
BOURGET,BOURGET D,
BOYCE GIBSON W R,BOYCEGIBSON W,
BOYCE WRB,BOYCEGIBSON W,
BOZZR P,BOZZI P,
BRADDONMITCHEL D,BRADDONMITCHELL D,
BRADLEY,BRADLEY,couldnt find reference
BEN BRADLEY,BRADLEY B,
BRAIG K,BRAIG C,
BENBRAMBLE,BRAMBLE B,
BRANBD G,BRAND G,
BRANDOM,BRANDOM R,
BRANDT,BRANDT F,checked paper
BREER R,BREEUR R,
BREEUR ZR,BREEUR R,
BREHIER,BREHIER E,
BREMONDS HENRI,BREMOND H,
BRENTANO,BRENTANO F,
BRENTANO E,BRENTANO F,
BRETANO F,BRENTANO F,
FRANZ,BRENTANO F,
FRANZ BRENTANO,BRENTANO F,
BREUN,BREUN R,Checked paper
BREWER,BREWER B,
DOUGLAS BRICK,BRICK D,
BRINKMAN KLAUS,BRINKMANN K,
BRINNIN M,BRINNIN J,
BROCKER OLTMANNS K,BROCKEROLTMANNS K,
BARNETT BROUGH JOHN,BROUGH J,
BRUNETR,BRUNET R,
BRUNSCHVICG,BRUNSCHVICG L,
BRUNSCHVIGG L,BRUNSCHVICG L,
