Source,Target,Weight
FINK E,FINK E,1
FORSTER W,FINK E,1
GARCIA E,FINK E,1
GARRIDO J,FINK E,1
GHANOTAKIS G,FINK E,1
GHITTI J,FINK E,1
GIRARDI L,FINK E,1
GIUBIATO G,FINK E,1
GIUBILATO G,FINK E,2
GONNELLA S,FINK E,1
GRONDIN V,FINK E,1
GROS A,FINK E,1
GRUNER S,FINK E,2
GUERRERO J,FINK E,1
GUILLEN G,FINK E,2
GUPTA B,FINK E,1
HART K,FINK E,1
HEINAMAA S,FINK E,2
HENRY M,FINK E,2
HIMANKA J,FINK E,3
HOBBS D,FINK E,1
HOGENOVA A,FINK E,1
HOMAN C,FINK E,1
HOPKINS B,FINK E,2
HUSSERL E,FINK E,1
IJSSELING S,FINK E,1
IKEDA Y,FINK E,2
INVERSO H,FINK E,2
JACOBS H,FINK E,1
JANER D,FINK E,1
JOHNSON F,FINK E,1
JONKUS D,FINK E,1
KINGWELL M,FINK E,1
KISIEL T,FINK E,1
KOCHLER H,FINK E,1
KONONETC D,FINK E,1
KUNSCHOVA J,FINK E,1
LAHBIB O,FINK E,1
LAWLOR L,FINK E,1
LEASK I,FINK E,1
LELAND D,FINK E,1
LIBERATI N,FINK E,1
LIEBSCH B,FINK E,1
LORELLE P,FINK E,1
LORIES D,FINK E,1
LOSONCZ M,FINK E,1
LOZANO A,FINK E,1
LOZAR J,FINK E,1
LUFT S,FINK E,1
MARBACH E,FINK E,1
MASI F,FINK E,2
MCGUIRK J,FINK E,1
MOCKEL C,FINK E,1
MOHANTY J,FINK E,1
MORAN D,FINK E,4
NG C,FINK E,2
NIEL L,FINK E,1
NITTA Y,FINK E,1
NOVOTNY K,FINK E,2
ONATE A,FINK E,1
ORTH E,FINK E,1
OVERGAARD S,FINK E,1
OWEN I,FINK E,1
PERRI T,FINK E,1
PLANTE M,FINK E,1
PLOTKA W,FINK E,3
POGREBNYAK A,FINK E,1
POZO A,FINK E,1
PROLE D,FINK E,1
PUGLIESE A,FINK E,1
RAPIC S,FINK E,1
RODRIGUEZ R,FINK E,1
ROGGERO J,FINK E,1
ROMANO C,FINK E,2
SAENZ M,FINK E,4
SAKAKIBARA T,FINK E,2
SASS L,FINK E,1
SAVIN A,FINK E,3
SCHALLER K,FINK E,1
SCHUHMANN K,FINK E,2
SEPP H,FINK E,2
SERBAN C,FINK E,1
SERON D,FINK E,2
SHEETS J,FINK E,3
SHESTOVA E,FINK E,2
SHOLOKHOVA S,FINK E,1
SMYTH B,FINK E,4
SOBERANO R,FINK E,1
SRUBAR I,FINK E,1
STANCIU O,FINK E,1
STAUDIGL M,FINK E,1
STEINBOCK A,FINK E,1
STERNAD C,FINK E,1
STRASSER S,FINK E,1
SUMMA M,FINK E,2
SZEFTEL M,FINK E,1
TERZI P,FINK E,2
TORRALBO A,FINK E,1
TRNKA J,FINK E,1
VAN DUPPEN Z,FINK E,1
VANDEPITTE M,FINK E,1
VARELA P,FINK E,1
VECINO M,FINK E,1
WALDENFELS B,FINK E,1
WATSON S,FINK E,1
WEBB J,FINK E,1
WEBER J,FINK E,1
WHITMOYER K,FINK E,1
WU Z,FINK E,1
YAMPOLSKAYA A,FINK E,2
ZAHAVI D,FINK E,4
ZIPPEL N,FINK E,3
ZIRION A,FINK E,1
ABALO F,HEIDEGGER M,2
ABBOTT M,HEIDEGGER M,1
ABROMEIT J,HEIDEGGER M,1
ACCETTI C,HEIDEGGER M,1
AFFIFI R,HEIDEGGER M,1
AI S,HEIDEGGER M,1
AINBINDER B,HEIDEGGER M,2
AL S,HEIDEGGER M,1
ALLOA E,HEIDEGGER M,3
ALMOG M,HEIDEGGER M,1
ALTMAN M,HEIDEGGER M,2
ALVES P,HEIDEGGER M,1
ALVIS J,HEIDEGGER M,6
ANANIEVA E,HEIDEGGER M,1
ANDERSON T,HEIDEGGER M,2
ANDRUS G,HEIDEGGER M,1
ANGELOVA E,HEIDEGGER M,1
ANGUS I,HEIDEGGER M,1
ARAGONA M,HEIDEGGER M,1
ARBIB D,HEIDEGGER M,2
AREL J,HEIDEGGER M,1
ARTEMENKO N,HEIDEGGER M,4
ARVIDSON P,HEIDEGGER M,1
ATKINS R,HEIDEGGER M,1
BABICH B,HEIDEGGER M,2
BACIU C,HEIDEGGER M,1
BADGER L,HEIDEGGER M,2
BALLANFAT E,HEIDEGGER M,2
BALLARD B,HEIDEGGER M,1
BALTAZAR A,HEIDEGGER M,2
BAPTIST G,HEIDEGGER M,1
BARANOVSKAJA I,HEIDEGGER M,1
BARBARAS R,HEIDEGGER M,2
BARIZZA A,HEIDEGGER M,1
BARKER J,HEIDEGGER M,1
BATHO D,HEIDEGGER M,2
BAZ A,HEIDEGGER M,1
BEATON M,HEIDEGGER M,1
BEAULIEU A,HEIDEGGER M,2
BEAVERS A,HEIDEGGER M,1
BECHTOL H,HEIDEGGER M,1
BEITH D,HEIDEGGER M,1
BELGRANO M,HEIDEGGER M,2
BELL S,HEIDEGGER M,2
BELTRAMIN J,HEIDEGGER M,1
BENDLOVA P,HEIDEGGER M,1
BENGTSSON J,HEIDEGGER M,1
BENNETT H,HEIDEGGER M,1
BENOIST J,HEIDEGGER M,1
BENSON B,HEIDEGGER M,1
BERAN O,HEIDEGGER M,2
BERGAMIN J,HEIDEGGER M,1
BERGO B,HEIDEGGER M,5
BERNASCONI R,HEIDEGGER M,3
BERNINGER A,HEIDEGGER M,1
BERTOLINI S,HEIDEGGER M,3
BERTORELLO A,HEIDEGGER M,3
BESOLI S,HEIDEGGER M,3
BEYER C,HEIDEGGER M,2
BILYK V,HEIDEGGER M,1
