community,sum.degree,mean.degree,sum.strength,mean.strength
9,1160,3.867,3212,10.707
2,866,4.163,1612,7.75
5,479,3.032,869,5.5
15,458,3.013,1069,7.033
1,451,3.199,1046,7.418
3,437,3.167,1180,8.551
6,328,2.711,715,5.909
16,273,2.73,590,5.9
12,237,2.548,492,5.29
7,199,2.487,451,5.638
4,110,2.973,279,7.541
8,44,2.095,88,4.19
10,39,1.857,79,3.762
11,16,1.333,26,2.167
13,13,1.625,26,3.25
14,7,1.75,13,3.25
