community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Sokolowski,117,28.025641025641026,233.2136752136752,3279,27286,0.07722772277227723
Spiegelberg,133,15.93233082706767,111.86466165413533,2119,14878,0.08778877887788779
Husserl,535,20.289719626168225,188.77009345794391,10855,100992,0.35313531353135313
Brentano,319,17.394984326018808,116.01880877742947,5549,37010,0.21056105610561057
Paci,28,11.607142857142858,57.785714285714285,325,1618,0.018481848184818482
Tieszen,233,21.506437768240342,122.66094420600858,5011,28580,0.1537953795379538
San,109,13.055045871559633,82.6788990825688,1423,9012,0.07194719471947195
Mou,16,8.25,41.125,132,658,0.010561056105610561
