community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Merleauponty,2671,24.261325346312244,182.62298764507676,64802,487786,0.37640924464487036
Zahavi,1087,35.10855565777369,241.7442502299908,38163,262776,0.153184892897407
Solomon,139,32.15827338129496,200.86330935251797,4470,27920,0.019588500563697857
Wittgenstein,388,28.984536082474225,184.48453608247422,11246,71580,0.05467869222096956
James,1107,48.72628726287263,351.7795844625113,53940,389420,0.15600338218714768
Husserl,1515,32.44950495049505,253.3953795379538,49161,383894,0.21350056369785794
