name,degree,strength,community
Evans G,50,54,James
Findlay J,50,54,Kant
Marbach E,47,53,Husserl
Chretien J,37,53,Heidegger
Hintikka J,43,52,Husserl
Dillon M,41,52,Merleauponty
Frith C,38,52,Fuchs
Holenstein E,46,52,Husserl
Levine J,48,52,James
Macintyre A,49,52,Kant
Zizek S,46,51,Kant
Dahlstrom D,43,51,Heidegger
Alesbello A,38,51,Stein
Barthes R,47,51,Merleauponty
Dewarren N,43,51,Husserl
Hutto D,37,51,Gallagher
Plessner H,42,51,Fuchs
Bourdieu P,45,50,Merleauponty
Deharo A,35,50,Husserl
Tomasello M,46,50,Gallagher
Chudnoff E,34,49,James
Anscombe E,44,49,James
Bratman M,31,49,James
Frankfurt H,33,49,James
Kripke S,38,49,James
Lee N,37,49,Husserl
Sepp H,41,49,Husserl
Williams R,38,49,Kant
Nenon T,40,48,Husserl
Baars B,32,48,James
Harris H,38,48,Kant
Leder D,38,47,Fuchs
Alcoff L,33,47,Merleauponty
Aquinas,42,47,Heidegger
Haugeland J,37,47,Gallagher
Lukacs G,41,47,Kant
Piaget J,44,47,Merleauponty
Schopenhauer A,41,47,Heidegger
Weber M,43,47,Schutz
Stanghellini G,31,46,Fuchs
Sallis J,39,46,Heidegger
Wheeler M,31,46,Gallagher
Dufrenne M,39,46,Merleauponty
Heelan P,19,46,Schutz
Henrich D,40,46,Kant
Toadvine T,34,45,Merleauponty
Schnell A,28,45,Richir
Costa V,41,45,Husserl
Zaner R,34,45,Husserl
Kearney R,35,45,Heidegger
Carnap R,37,45,Husserl
Pacherie E,33,44,James
Farber M,34,44,Husserl
Franck D,36,44,Heidegger
Hartmann N,36,44,Husserl
Hill C,36,44,James
Johnston M,34,44,James
Kim J,36,44,James
Lutz A,38,44,Gallagher
Uexkull J,35,44,Gallagher
Willard D,34,44,Husserl
Schwitzgebel E,42,43,James
Bernasconi R,34,43,Heidegger
Westphal M,30,43,Heidegger
Buber M,40,43,Heidegger
Critchley S,41,43,Heidegger
Latour B,34,43,Heidegger
Meltzoff A,29,43,Gallagher
Theunissen M,40,43,Kant
Lingis A,38,42,Heidegger
Petitmengin C,28,42,Gallagher
Bakhtin M,23,42,Bakhtin
Becker O,32,42,Husserl
Kockelmans J,34,42,Schutz
Rinofnerkreidl S,28,42,Husserl
Vanmanen M,35,42,Gallagher
Weyl H,27,42,Husserl
Figal G,37,41,Heidegger
Goethe J,37,41,Kant
Iribarne J,25,41,Husserl
Millikan R,28,41,James
Proust M,37,41,Merleauponty
Whitehead A,32,41,Merleauponty
Tieszen R,27,40,Husserl
Allison H,27,40,Kant
Blankenburg W,28,40,Fuchs
Dejaegher H,31,40,Gallagher
Gendlin E,26,40,Gallagher
Johnson M,35,40,Gallagher
Levistrauss C,33,40,Merleauponty
Lipps T,31,40,Husserl
Hopp W,28,39,Husserl
Pautz A,28,39,James
Danto A,31,39,Richir
Fanon F,34,39,Merleauponty
Goodman N,35,39,James
Marcel G,31,39,Heidegger
Meinong A,29,39,Husserl
Siep L,31,39,Kant
Wrathall M,32,39,Gallagher
Natanson M,31,38,Schutz
Dodd J,32,38,Husserl
Brewer B,33,38,James
Begout B,35,38,Husserl
Boghossian P,31,38,James
Canguilhem G,33,38,Merleauponty
Edie J,29,38,Husserl
Hopkins B,28,38,Husserl
Lauer Q,36,38,Kant
Pfander A,29,38,Husserl
Pylyshyn Z,32,38,James
Overgaard S,33,37,Husserl
Schmid H,21,37,James
Behnke E,23,37,Husserl
Claesges U,34,37,Husserl
Dipaolo E,25,37,Gallagher
Korsgaard C,31,37,Kant
Lacoste J,23,37,Heidegger
Levin D,31,37,Husserl
Mead G,27,37,Gallagher
Legrand D,33,36,Gallagher
Friedman M,34,36,Husserl
Williamson T,30,36,James
Blanchot M,33,36,Heidegger
Blattner W,28,36,Gallagher
Dainton B,29,36,James
Dehaene S,33,36,James
Fish W,29,36,James
Goldstein K,27,36,Merleauponty
Hurley S,28,36,Gallagher
Meillassoux Q,28,36,Heidegger
Orth E,28,36,Husserl
Ramachandran V,29,36,Gallagher
Trevarthen C,23,36,Gallagher
Tymieniecka A,25,36,Schutz
Wegner D,28,36,James
Westphal K,21,36,Kant
Volpi F,32,35,Heidegger
Geiger M,25,35,Husserl
Apel K,28,35,Ortegaygasset
Bollnow O,28,35,Merleauponty
Desaintaubert E,25,35,Merleauponty
Grosz E,29,35,Merleauponty
Horkheimer M,30,35,Kant
Kenny A,30,35,James
Loar B,31,35,James
Oshaughnessy B,28,35,James
Otto R,31,35,Heidegger
Reddy V,23,35,Gallagher
Shpet G,19,35,Bakhtin
Simons P,32,35,Husserl
Kuhn R,28,34,Heidegger
Colombetti G,31,34,Gallagher
Blackburn S,31,34,James
Frings M,29,34,Husserl
Godel K,21,34,Husserl
Gschwandtner C,20,34,Heidegger
Hurlburt R,17,34,James
Lewis C,27,34,Gallagher
Luhmann N,29,34,Gallagher
Popper K,29,34,Husserl
Rollinger R,24,34,Husserl
Simmel G,29,34,Merleauponty
Geniusas S,22,33,Husserl
Rodriguez R,25,33,Heidegger
Ahmed S,24,33,Merleauponty
Beiser F,24,33,Kant
Berger P,30,33,Schutz
Cavell S,26,33,Merleauponty
Flanagan O,29,33,James
Gilbert M,23,33,James
Spinoza B,30,33,Kant
Vanburen J,26,33,Heidegger
Houlgate S,27,32,Kant
Bohme G,26,32,Fuchs
Conradmartius H,22,32,Stein
Darwin C,28,32,Gallagher
Desousa R,25,32,James
Devignemont F,24,32,James
Gordon R,27,32,Gallagher
Lefort C,26,32,Merleauponty
Madison G,26,32,Merleauponty
Mcintyre R,29,32,Husserl
Rawls J,25,32,Kant
Rowlands M,27,32,James
Roy J,27,32,Gallagher
Vanbreda H,27,32,Husserl
Walton K,26,32,James
Wundt W,25,32,Husserl
Ayer A,30,31,James
Bataille G,24,31,Merleauponty
Grice H,28,31,James
Guyer P,25,31,Kant
Hilbert D,24,31,James
Hobbes T,26,31,Kant
Huemer M,25,31,James
Lowith K,27,31,Heidegger
Mach E,28,31,Husserl
Malabou C,26,31,Kant
Marx W,27,31,Kant
Rickert H,22,31,Heidegger
Currie G,28,30,Gallagher
Lavigne J,28,30,Husserl
Mulhall S,23,30,Gallagher
Polanyi M,25,30,Fuchs
Rodemeyer L,25,30,Husserl
Schlick M,26,30,Husserl
Sloterdijk P,27,30,Heidegger
Lotz C,26,29,Husserl
Stewart J,23,29,Kant
Stawarska B,24,29,Merleauponty
Peperzak A,23,29,Heidegger
Weiss G,24,29,Merleauponty
Rockmore T,25,29,Kant
Rombach H,19,29,Heidegger
Bolzano B,25,29,Husserl
Broad C,24,29,James
Deonna J,24,29,James
Eliade M,26,29,Schutz
Lopezsaenz M,13,29,Merleauponty
Rilke R,27,29,Merleauponty
Seebohm T,23,29,Husserl
Haggard P,23,28,James
Krueger J,20,28,Gallagher
Vermersch P,22,28,Gallagher
Tononi G,21,28,James
Deboer T,27,28,Husserl
Alston W,25,28,James
Bell D,27,28,Husserl
Buytendijk F,19,28,Husserl
Descombes V,28,28,Merleauponty
Frijda N,20,28,James
Garciabaro M,23,28,Husserl
Kersten F,26,28,Husserl
Kohler W,24,28,Merleauponty
Kosky J,20,28,Heidegger
Neisser U,25,28,Gallagher
Parsons C,17,28,Husserl
Philipse H,23,28,Husserl
Reid T,25,28,James
Rota G,14,28,Richir
Schleiermacher F,26,28,Heidegger
Smith M,24,28,James
Vanfraassen B,15,28,James
Vonhildebrand D,16,28,Husserl
Hohwy J,22,27,James
Carel H,15,27,Fuchs
Morris D,23,27,Merleauponty
Froese T,26,27,Gallagher
Staiti A,18,27,Husserl
Escudero J,19,27,Heidegger
Gilson E,25,27,Heidegger
Gondek H,23,27,Heidegger
Kristeva J,24,27,Merleauponty
Macpherson F,24,27,James
Miller J,27,27,Husserl
Mishara A,20,27,Fuchs
Nichols S,22,27,James
Rojcewicz R,24,27,Heidegger
Rouse J,23,27,Gallagher
Smith D,25,27,Husserl
Titchener E,18,27,James
Varelaposada P,6,27,Richir
Vattimo G,25,27,Heidegger
Vygotsky L,20,27,Fuchs
Wollheim R,23,27,James
Wright C,24,27,James
Brogaard B,18,26,James
Nanay B,25,26,James
Aguirre A,21,26,Husserl
Baudrillard J,21,26,Heidegger
Brand G,23,26,Husserl
Brooks R,18,26,Gallagher
Carbone M,23,26,Merleauponty
Koffka K,22,26,Merleauponty
Kusch M,23,26,Husserl
Laing R,22,26,Fuchs
Papineau D,23,26,James
Rizzolatti G,25,26,James
Roberts R,22,26,James
Schapp W,22,26,Husserl
Sosa E,22,26,James
Wang H,18,26,Husserl
Heffernan G,18,25,Husserl
Svenaeus F,20,25,Fuchs
Russon J,19,25,Kant
Bitbol M,22,25,Gallagher
Stern R,22,25,Kant
Bimbenet E,23,25,Merleauponty
Alsaji A,18,25,Merleauponty
Bonjour L,16,25,Husserl
Crick F,24,25,James
Desaussure F,25,25,Merleauponty
Flynn T,21,25,Merleauponty
Freeman W,20,25,Gallagher
Gopnik A,22,25,Gallagher
Hardy L,20,25,Husserl
Jay M,22,25,Kant
Jeannerod M,18,25,James
Landes D,20,25,Merleauponty
Price H,19,25,James
Ranciere J,23,25,Merleauponty
Rang B,24,25,Husserl
Rousseau J,22,25,Kant
Soteriou M,15,25,James
Twardowski K,22,25,Husserl
Vanden B,20,25,Fuchs
Wagner H,18,25,Schutz
Weil S,20,25,Heidegger
Grush R,20,24,James
Audi R,19,24,James
Gardner S,19,24,Merleauponty
Hart K,19,24,Heidegger
Mcneill W,23,24,Heidegger
Gasche R,21,24,Heidegger
Housset E,22,24,Heidegger
Benhabib S,20,24,Kant
Bleuler E,18,24,Fuchs
Cole J,19,24,Gallagher
Dusing K,21,24,Kant
Gethmann C,24,24,Heidegger
Haar M,22,24,Heidegger
Jung C,20,24,Fuchs
Kosslyn S,17,24,James
Ledoux J,22,24,Gallagher
Paci E,21,24,Kant
Panzer U,24,24,Husserl
Parfit D,20,24,James
Pascal B,24,24,Heidegger
Phillips I,15,24,James
Richardson W,23,24,Heidegger
Sacks O,22,24,Merleauponty
Schiller J,19,24,Kant
Singer P,23,24,James
Stroud B,21,24,Husserl
Travis C,19,24,James
Young J,22,24,Heidegger
Horner R,18,23,Heidegger
Schellenberg S,19,23,James
Falque E,17,23,Heidegger
Slaby J,22,23,Fuchs
Chemero A,21,23,Gallagher
Cassam Q,20,23,James
Cohen H,21,23,Husserl
Darwall S,17,23,James
Graham G,19,23,Fuchs
Griffiths P,21,23,James
Jakobson R,19,23,Husserl
Kaufmann W,22,23,Kant
Kortooms T,20,23,Husserl
Labarriere P,17,23,Kant
Rosen S,18,23,Kant
Schmitt C,21,23,Kant
Tillich P,18,23,Kant
Wahl J,22,23,Heidegger
Sparrow T,20,22,Merleauponty
Rodrigo P,19,22,Merleauponty
Thomson I,18,22,Heidegger
Giorgi A,20,22,Gallagher
Kohak E,20,22,Heidegger
Peucker H,20,22,Husserl
Jacob P,21,22,James
Miller A,20,22,James
Barber M,16,22,Schutz
Escoubas E,22,22,Merleauponty
Hering J,21,22,Husserl
Ameriks K,21,22,Kant
Csordas T,13,22,Merleauponty
Davies M,16,22,James
Durkheim E,20,22,James
Frank M,21,22,Kant
Friston K,17,22,James
Garfield J,15,22,Gallagher
Hanna R,19,22,Gallagher
Jackendoff R,15,22,James
Kolakowski L,19,22,Husserl
Libet B,20,22,James
Lyons W,21,22,James
Marr D,19,22,James
Mctaggart J,16,22,James
Palmer S,19,22,James
Ross W,19,22,James
Schacter D,13,22,Fuchs
Shusterman R,20,22,Heidegger
Siderits M,14,22,Gallagher
Zubiri X,14,22,Ortegaygasset
Reynolds J,20,21,Merleauponty
Smithies D,18,21,James
Bell J,15,21,Peirce
Cohen J,19,21,James
Bachelard S,20,21,Husserl
Baker L,13,21,James
Baroncohen S,17,21,Gallagher
Cohen R,21,21,Heidegger
Dasilva J,15,21,Husserl
Demonticelli R,16,21,Husserl
Geach P,18,21,James
Hacking I,19,21,Schutz
Koyre A,19,21,Kant
Krell D,21,21,Heidegger
Kruks S,17,21,Merleauponty
Malpas J,18,21,Heidegger
Mancosu P,13,21,Husserl
Mauss M,20,21,Merleauponty
Mill J,20,21,Husserl
Montero B,18,21,Gallagher
Moran R,18,21,James
Ni L,13,21,Husserl
Paul L,15,21,James
Perry J,21,21,James
Poincare H,18,21,Gallagher
Schilder P,19,21,Merleauponty
Winnicott D,18,21,Merleauponty
Wood A,18,21,Kant
Jansen J,17,20,James
Sobchack V,19,20,Merleauponty
Szanto T,14,20,James
Ierna C,13,20,Husserl
Montague M,18,20,James
Molchanov V,17,20,Husserl
Ferraris M,19,20,James
Soffer G,19,20,Husserl
Bennett J,19,20,Gallagher
Boss M,20,20,Fuchs
Conrad K,16,20,Fuchs
Eco U,18,20,Peirce
Edelman G,12,20,Gallagher
Einstein A,19,20,Husserl
Feferman S,12,20,Husserl
Gaos J,18,20,Husserl
Gehlen A,20,20,Heidegger
Granel G,16,20,Heidegger
Gregory R,14,20,Stein
Guignon C,17,20,Heidegger
Helm B,15,20,James
Makkreel R,16,20,Heidegger
Mandelbaum M,14,20,James
Mclaughlin B,16,20,James
Mele A,18,20,James
Menary R,19,20,Gallagher
Milbank J,16,20,Heidegger
Nisbett R,20,20,Gallagher
Nishida K,12,20,Heidegger
Pettit P,18,20,James
Rochat P,15,20,Husserl
Schneider K,19,20,Fuchs
Scott J,16,20,Merleauponty
Smith N,18,19,Heidegger
Wood D,18,19,Heidegger
Kelly M,18,19,Husserl
Kind A,17,19,James
Redding P,16,19,Kant
Glendinning S,13,19,Schutz
Jacobs H,18,19,Husserl
Funke G,17,19,Husserl
Pradelle D,18,19,Husserl
Carroll N,13,19,Merleauponty
Barrett L,14,19,Gallagher
Bateson G,18,19,Gallagher
Berger G,16,19,Husserl
Bernstein R,19,19,Heidegger
Camus A,17,19,Heidegger
Cerbone D,17,19,Heidegger
Cobbstevens R,18,19,Husserl
Depalma V,13,19,Husserl
Deurbina R,6,19,Richir
Fischer J,16,19,James
Gutting G,18,19,Merleauponty
Hare R,14,19,James
Holderlin F,19,19,Kant
Kimura B,14,19,Fuchs
Lepoidevin R,13,19,James
Nagel E,18,19,James
Pryor J,17,19,James
Romdenhromluc K,14,19,Gallagher
Scarry E,17,19,Husserl
Schwartz M,17,19,Fuchs
Scruton R,15,19,James
Stoljar D,17,19,James
Toombs S,11,19,Fuchs
Tucker C,13,19,James
Tuomela R,13,19,James
Vanatten M,13,19,Husserl
Vetter H,15,19,Heidegger
Vongehr T,11,19,Husserl
Oksala J,17,18,Merleauponty
Yoshimi J,15,18,Husserl
Wiesing L,14,18,Husserl
Novotny K,15,18,Heidegger
Benson B,16,18,Heidegger
Benveniste E,18,18,Heidegger
Berthoz A,11,18,Heidegger
Bohm D,15,18,Peirce
Bultmann R,11,18,Heidegger
Chomsky N,17,18,James
Devries H,13,18,Heidegger
Eckhart M,14,18,Heidegger
Evans J,15,18,Heidegger
Foti V,17,18,Merleauponty
Gander H,14,18,Heidegger
Garfinkel H,15,18,Schutz
Goffman E,17,18,Merleauponty
Gordon L,16,18,Merleauponty
Hadot P,16,18,Heidegger
Inwood M,17,18,Kant
Jaeschke W,16,18,Kant
Jankelevitch V,17,18,Heidegger
Kahneman D,18,18,James
Karfik F,11,18,Heidegger
Katz D,16,18,Merleauponty
Lamme V,15,18,James
Lazarus R,16,18,James
Losev A,11,18,Bakhtin
Mackie J,16,18,James
Mamardashvili M,10,18,Bakhtin
Manoussakis J,13,18,Heidegger
Mcgrath S,17,18,Heidegger
Mellor D,13,18,James
Mickunas A,11,18,Heidegger
Misch G,15,18,Fuchs
Moi T,16,18,Merleauponty
Montavont A,17,18,Husserl
Ocallaghan C,17,18,James
Oconnor T,14,18,James
Robinson W,13,18,James
Safranski R,15,18,Heidegger
Schear J,16,18,Gallagher
Scherer K,15,18,James
Sinnottarmstrong W,16,18,James
Snowdon P,16,18,James
Stiegler B,16,18,Peirce
Wertheimer M,13,18,James
Wu W,16,18,James
Piana G,16,17,Heidegger
Hartimo M,14,17,Husserl
Zarader M,17,17,Heidegger
Breeur R,15,17,Husserl
Jarczyk G,15,17,Kant
Zirion Aq,16,17,Husserl
Annas J,14,17,James
Emad P,16,17,Heidegger
Baldwin T,17,17,Merleauponty
Bernstein J,14,17,Kant
