name,degree,strength,community
Velmans M,13,14,James
Radden J,13,14,Fuchs
Duque F,12,14,Kant
Smith C,14,14,Merleauponty
Schmidt J,13,14,Kant
Beyer C,11,14,Husserl
Jacquette D,12,14,Merleauponty
Crespo M,13,14,Husserl
Burbidge J,13,14,Kant
Ott H,14,14,Heidegger
Abensour M,11,14,Heidegger
Anderson J,13,14,Heidegger
Banfi A,12,14,Heidegger
Barash J,12,14,Heidegger
Barth K,11,14,Heidegger
Bauman Z,12,14,Heidegger
Brassier R,9,14,Merleauponty
Brown J,13,14,James
Cabestan P,12,14,Merleauponty
Dancy J,13,14,James
Debiran M,12,14,Fuchs
Dehaans S,11,14,Fuchs
Dove K,10,14,Kant
Ekman P,13,14,James
Ey H,11,14,Fuchs
Gombrich E,14,14,Merleauponty
Grathoff R,13,14,Husserl
Grene M,12,14,Merleauponty
Han B,13,14,Merleauponty
Hass L,11,14,Merleauponty
Heisenberg W,11,14,Schutz
Hildebrand D,9,14,Husserl
Hobson R,10,14,Gallagher
Hoffmeister J,12,14,Kant
Iser W,14,14,Heidegger
Jacobi F,14,14,Kant
Laberge S,9,14,James
Langer S,9,14,Gallagher
Lembeck K,14,14,Husserl
Lopes D,11,14,James
Lopez M,4,14,Merleauponty
Lotze H,13,14,Husserl
Mackinlay S,12,14,Heidegger
Martin J,12,14,James
Nelson E,12,14,Heidegger
Newton I,11,14,Husserl
Olafson F,12,14,Gallagher
Panksepp J,12,14,Gallagher
Posner M,13,14,James
Priest G,14,14,James
Priest S,14,14,Merleauponty
Recanati F,11,14,James
Reeder H,11,14,Heidegger
Rock I,12,14,James
Saenz M,7,14,Merleauponty
Schrag C,11,14,Heidegger
Seel M,13,14,Merleauponty
Shakespeare W,14,14,Kant
Simmons J,10,14,Heidegger
Smid R,12,14,Husserl
Sommer C,9,14,Heidegger
Tollefsen D,8,14,James
Tsakiris M,14,14,James
Velleman J,13,14,Heidegger
Vonhelmholtz H,13,14,Stein
Vonhumboldt W,13,14,Bakhtin
White H,11,14,Bakhtin
Wilson E,14,14,Merleauponty
Moreno C,9,13,Heidegger
Fisher L,12,13,Merleauponty
Bortolotti L,13,13,Fuchs
Breyer T,13,13,Merleauponty
Kacerauskas T,9,13,Heidegger
Burch M,12,13,Gallagher
Martin W,10,13,Husserl
Mertens K,10,13,Husserl
Taipale J,12,13,Husserl
Majolino C,8,13,Husserl
Koksvik O,9,13,James
Slatman J,12,13,Merleauponty
Worms F,13,13,Heidegger
Yamaguchi I,12,13,Husserl
Chiereghin F,12,13,Kant
Kraus A,13,13,Fuchs
Williford K,12,13,James
Levinson J,12,13,James
Althusser L,13,13,Kant
Alves P,12,13,Husserl
Amery J,12,13,Heidegger
Andreasen N,12,13,Fuchs
Bacon F,12,13,Bakhtin
Baier A,12,13,James
Balibar E,12,13,Merleauponty
Bartky S,11,13,Merleauponty
Bennington G,12,13,Heidegger
Benzeev A,10,13,Husserl
Bergoffen D,12,13,Merleauponty
Blanke O,12,13,Gallagher
Bourgeois B,12,13,Kant
Brady M,10,13,James
Brouwer L,9,13,Husserl
Cantor G,11,13,Husserl
Chan W,10,13,Schutz
Cho K,12,13,Husserl
Cohen M,12,13,James
Decerteau M,13,13,Heidegger
Dimartino C,12,13,Heidegger
Diprose R,11,13,Merleauponty
Dubois W,10,13,Merleauponty
Fellmann F,11,13,Husserl
Feuerbach L,13,13,Kant
Fleischer M,13,13,Husserl
Freeman L,12,13,James
Fulda H,12,13,Kant
Fulford K,11,13,Fuchs
Gabriel M,12,13,Husserl
Geraets T,10,13,Merleauponty
Green M,9,13,Gallagher
Hobson J,10,13,James
Hofstadter A,12,13,Peirce
Hookway C,11,13,Peirce
Jack A,11,13,Gallagher
Jensen R,13,13,Gallagher
Kafka F,13,13,Heidegger
Kalderon M,10,13,James
Kauffman S,10,13,Gallagher
Kaufmann F,13,13,Husserl
Keller P,13,13,Husserl
Kiverstein J,12,13,Gallagher
Klein J,9,13,Husserl
Kolnai A,8,13,Husserl
Koselleck R,11,13,Husserl
Levanquyen M,11,13,Gallagher
Livingston P,8,13,Husserl
Llinas R,10,13,Gallagher
Lotze R,9,13,Husserl
Mall R,10,13,Husserl
Menke C,11,13,Kant
Moutinho L,11,13,Merleauponty
Murakami Y,10,13,Richir
Northoff G,12,13,James
Rabanaque L,10,13,Husserl
Seth A,11,13,Gallagher
Simon H,11,13,Gallagher
Simons M,10,13,Merleauponty
Stambaugh J,12,13,Heidegger
Taguchi S,12,13,Husserl
Taylor G,12,13,Heidegger
Thom R,11,13,Peirce
Thompson M,11,13,Schutz
Tolstoy L,13,13,Merleauponty
Turing A,10,13,Gallagher
Urmson J,13,13,James
Vancleve J,10,13,Husserl
Vankerckhoven G,12,13,Richir
Weiskrantz L,13,13,James
Young A,7,13,Fuchs
Zagzebski L,10,13,James
Zambrano M,7,13,Merleauponty
