community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Sass,80,27.5375,165.925,2203,13274,0.22662889518413598
Jaspers,108,16.22222222222222,106.62962962962963,1752,11516,0.3059490084985836
Wittgenstein,60,5.233333333333333,27.633333333333333,314,1658,0.16997167138810199
Fulford,14,8.285714285714286,38.42857142857143,116,538,0.039660056657223795
Bentall,26,9.884615384615385,43.84615384615385,257,1140,0.07365439093484419
Gerrans,35,17.428571428571427,84.4,610,2954,0.09915014164305949
Broome,16,18.75,82.875,300,1326,0.0453257790368272
Langenbach,5,4,18,20,90,0.014164305949008499
